step,type,loss,cumulative_time_ms,step_avg_ms
1055,train,,738306,699.82
1056,train,,739071,699.88
1057,train,,739783,699.89
1058,train,,740491,699.90
1059,train,,741253,699.96
1060,train,,741908,699.91
1061,train,,742608,699.91
1062,train,,743325,699.93
1063,train,,744077,699.98
1064,train,,744730,699.93
1065,train,,745463,699.97
1066,train,,746109,699.92
1067,train,,746810,699.92
1068,train,,747469,699.88
1069,train,,748318,700.02
1070,train,,748977,699.98
1071,train,,749686,699.99
1072,train,,750357,699.96
1073,train,,751047,699.95
1074,train,,751997,700.18
1075,train,,752629,700.12
1076,train,,753334,700.12
1077,train,,754188,700.27
1078,train,,754822,700.21
1079,train,,755534,700.22
1080,train,,756276,700.26
1081,train,,757010,700.29
1082,train,,757689,700.27
1083,train,,758429,700.30
1084,train,,759131,700.31
1085,train,,759790,700.27
1086,train,,760437,700.22
1087,train,,761212,700.29
1088,train,,761856,700.24
1089,train,,762615,700.29
1090,train,,763270,700.25
1091,train,,764031,700.30
1092,train,,764698,700.27
1093,train,,765333,700.21
1094,train,,766019,700.20
1095,train,,766723,700.20
1096,train,,767415,700.20
1097,train,,768301,700.37
1098,train,,769096,700.45
1099,train,,769730,700.39
1100,train,,770360,700.33
1100,val,4.0049,770361,700.33
1101,train,,771190,700.44
1102,train,,771949,700.50
1103,train,,772719,700.56
1104,train,,773421,700.56
1105,train,,774076,700.52
1106,train,,774797,700.54
1107,train,,775555,700.59
1108,train,,776345,700.67
1109,train,,777111,700.73
1110,train,,777750,700.68
1111,train,,778458,700.68
1112,train,,779261,700.77
1113,train,,779959,700.77
1114,train,,780815,700.91
1115,train,,781566,700.96
1116,train,,782353,701.03
1117,train,,783013,701.00
1118,train,,783931,701.19
1119,train,,784666,701.22
1120,train,,785301,701.16
1121,train,,786086,701.24
1122,train,,786849,701.29
1123,train,,787543,701.28
1124,train,,788232,701.27
1125,train,,788908,701.25
